State,Politics,Consumer,units,Month,Cost,PercentWind,PercentSolar
Alabama,Red,all sectors,cents per kilowatthour,Jan,11.84,0,0.004940789
Alabama,Red,all sectors,cents per kilowatthour,Feb,11.58,0,0.008311955
Alabama,Red,all sectors,cents per kilowatthour,Mar,11.76,0,0.010209343
Alabama,Red,all sectors,cents per kilowatthour,Apr,11.79,0,0.011649719
Alabama,Red,all sectors,cents per kilowatthour,May,11.32,0,0.011383692
Alabama,Red,all sectors,cents per kilowatthour,Jun,12.17,0,0.011377489
Alabama,Red,all sectors,cents per kilowatthour,Jul,12.1,0,0.009411765
Alabama,Red,all sectors,cents per kilowatthour,Aug,12.01,0,0.010781869
Alabama,Red,all sectors,cents per kilowatthour,Sep,12.04,0,0.008599722
Alabama,Red,all sectors,cents per kilowatthour,Oct,11.77,0,0.01118464
Alabama,Red,all sectors,cents per kilowatthour,Nov,11.67,0,0.006122265
Alabama,Red,all sectors,cents per kilowatthour,Dec,11.87,0,0.005486158
Alabama,Red,commercial,cents per kilowatthour,Jan,13.64,0,0.004940789
Alabama,Red,commercial,cents per kilowatthour,Feb,13.58,0,0.008311955
Alabama,Red,commercial,cents per kilowatthour,Mar,13.88,0,0.010209343
Alabama,Red,commercial,cents per kilowatthour,Apr,13.72,0,0.011649719
Alabama,Red,commercial,cents per kilowatthour,May,12.98,0,0.011383692
Alabama,Red,commercial,cents per kilowatthour,Jun,13.65,0,0.011377489
Alabama,Red,commercial,cents per kilowatthour,Jul,13.43,0,0.009411765
Alabama,Red,commercial,cents per kilowatthour,Aug,13.38,0,0.010781869
Alabama,Red,commercial,cents per kilowatthour,Sep,13.51,0,0.008599722
Alabama,Red,commercial,cents per kilowatthour,Oct,13.68,0,0.01118464
Alabama,Red,commercial,cents per kilowatthour,Nov,13.72,0,0.006122265
Alabama,Red,commercial,cents per kilowatthour,Dec,13.83,0,0.005486158
Alabama,Red,industrial,cents per kilowatthour,Jan,7.12,0,0.004940789
Alabama,Red,industrial,cents per kilowatthour,Feb,6.72,0,0.008311955
Alabama,Red,industrial,cents per kilowatthour,Mar,7.16,0,0.010209343
Alabama,Red,industrial,cents per kilowatthour,Apr,7.43,0,0.011649719
Alabama,Red,industrial,cents per kilowatthour,May,7.04,0,0.011383692
Alabama,Red,industrial,cents per kilowatthour,Jun,7.6,0,0.011377489
Alabama,Red,industrial,cents per kilowatthour,Jul,7.35,0,0.009411765
Alabama,Red,industrial,cents per kilowatthour,Aug,7.28,0,0.010781869
Alabama,Red,industrial,cents per kilowatthour,Sep,7.16,0,0.008599722
Alabama,Red,industrial,cents per kilowatthour,Oct,7.36,0,0.01118464
