"CountryName","CountryCode","Year","GDPperCap","FertilityRate"
"Australia","AUS",1960,1810.70643,3.453
"Australia","AUS",1961,1877.707064,3.54
"Australia","AUS",1962,1854.746154,3.442
"Australia","AUS",1963,1967.211274,3.332
"Australia","AUS",1964,2131.3803,3.146
"Australia","AUS",1965,2281.110305,2.977
"Australia","AUS",1966,2343.915919,2.881
"Australia","AUS",1967,2580.110592,2.848
"Australia","AUS",1968,2724.130672,2.888
"Australia","AUS",1969,2991.477279,2.886
"Australia","AUS",1970,3304.92737,2.859
"Australia","AUS",1971,3495.228201,2.961
"Australia","AUS",1972,3949.461643,2.744
"Australia","AUS",1973,4770.810172,2.491
"Australia","AUS",1974,6482.938481,2.397
"Australia","AUS",1975,7003.842471,2.148
"Australia","AUS",1976,7486.682604,2.06
"Australia","AUS",1977,7775.658469,2.007
"Australia","AUS",1978,8252.734457,1.949
"Australia","AUS",1979,9294.515783,1.907
"Australia","AUS",1980,10208.80368,1.891
"Australia","AUS",1981,11853.66942,1.935
"Australia","AUS",1982,12779.14592,1.929
"Australia","AUS",1983,11515.74451,1.924
"Australia","AUS",1984,12421.88077,1.84
"Australia","AUS",1985,11441.58197,1.923
"Australia","AUS",1986,11392.00439,1.868
"Australia","AUS",1987,11651.33012,1.845
"Australia","AUS",1988,14284.96079,1.831
"Australia","AUS",1989,17834.45269,1.838
"Australia","AUS",1990,18249.30145,1.902
"Australia","AUS",1991,18859.90746,1.849
"Australia","AUS",1992,18624.18773,1.888
"Australia","AUS",1993,17699.87649,1.859
"Australia","AUS",1994,18129.63531,1.842
"Australia","AUS",1995,20448.12197,1.822
"Australia","AUS",1996,22021.78391,1.796
"Australia","AUS",1997,23646.62305,1.778
"Australia","AUS",1998,21479.1142,1.762
"Australia","AUS",1999,20712.66978,1.755
"Australia","AUS",2000,21870.41597,1.756
"Australia","AUS",2001,19695.72974,1.739
"Australia","AUS",2002,20301.84317,1.756
"Australia","AUS",2003,23718.13385,1.748
"Australia","AUS",2004,30836.73068,1.768
"Australia","AUS",2005,34479.76793,1.807
"Australia","AUS",2006,36595.70715,1.908
"Australia","AUS",2007,41051.61207,1.959
"Australia","AUS",2008,49701.28178,1.984
"Australia","AUS",2009,42816.5674,1.971
"Australia","AUS",2010,52144.66547,1.928
"Australia","AUS",2011,62605.60046,1.926
"Australia","AUS",2012,68072.87323,1.92
"Australia","AUS",2013,68190.701,1.855
"Australia","AUS",2014,62544.08738,1.826
"Australia","AUS",2015,56739.02653,1.814
"Australia","AUS",2016,49888.04108,1.752
"Australia","AUS",2017,53901.71454,1.741
"Australia","AUS",2018,57196.42208,1.74
"Australia","AUS",2019,54972.70179,1.657
"Australia","AUS",2020,51791.54018,1.581
"Australia","AUS",2021,60607.77886,1.7
"Australia","AUS",2022,64997.01365,1.63
"Australia","AUS",2023,64835.91998,1.5
"Austria","AUT",1960,939.9148147,2.69
"Austria","AUT",1961,1036.728204,2.78
"Austria","AUT",1962,1093.014191,2.8
"Austria","AUT",1963,1172.557446,2.82
"Austria","AUT",1964,1275.457153,2.79
"Austria","AUT",1965,1381.077258,2.7
"Austria","AUT",1966,1494.049114,2.66
"Austria","AUT",1967,1577.141477,2.62
"Austria","AUT",1968,1685.662117,2.58
"Austria","AUT",1969,1834.078078,2.49
"Austria","AUT",1970,2050.705154,2.29
"Austria","AUT",1971,2371.65248,2.2
"Austria","AUT",1972,2912.595771,2.08
"Austria","AUT",1973,3875.483056,1.94
"Austria","AUT",1974,4612.619208,1.91
"Austria","AUT",1975,5264.91772,1.83
"Austria","AUT",1976,5656.145138,1.69
"Austria","AUT",1977,6783.951422,1.63
"Austria","AUT",1978,8173.329263,1.6
"Austria","AUT",1979,9755.404456,1.6
"Austria","AUT",1980,10826.97183,1.65
"Austria","AUT",1981,9348.488324,1.67
"Austria","AUT",1982,9373.488206,1.66
"Austria","AUT",1983,9500.050704,1.56
"Austria","AUT",1984,8955.848292,1.52
"Austria","AUT",1985,9136.170926,1.47
"Austria","AUT",1986,13031.8281,1.45
"Austria","AUT",1987,16328.5613,1.43
"Austria","AUT",1988,17509.76587,1.45
"Austria","AUT",1989,17400.52266,1.45
"Austria","AUT",1990,21596.06822,1.46
"Austria","AUT",1991,22323.13125,1.51
"Austria","AUT",1992,24782.71188,1.51
"Austria","AUT",1993,23987.20372,1.5
"Austria","AUT",1994,25546.24605,1.47
"Austria","AUT",1995,30207.06743,1.42
"Austria","AUT",1996,29645.94513,1.45
"Austria","AUT",1997,26571.75236,1.39
"Austria","AUT",1998,27212.46429,1.37
"Austria","AUT",1999,27078.70816,1.34
"Austria","AUT",2000,24487.29747,1.36
"Austria","AUT",2001,24430.49598,1.33
"Austria","AUT",2002,26334.86222,1.39
"Austria","AUT",2003,32110.11597,1.38
"Austria","AUT",2004,36614.25065,1.42
"Austria","AUT",2005,38157.37023,1.41
"Austria","AUT",2006,40382.20783,1.41
"Austria","AUT",2007,46622.96229,1.38
"Austria","AUT",2008,51581.39824,1.42
"Austria","AUT",2009,47857.44466,1.39
"Austria","AUT",2010,46611.13934,1.44
"Austria","AUT",2011,51116.89535,1.43
"Austria","AUT",2012,48250.40591,1.44
"Austria","AUT",2013,50305.35458,1.44
"Austria","AUT",2014,51314.97226,1.46
"Austria","AUT",2015,43915.22802,1.49
"Austria","AUT",2016,45061.49939,1.53
"Austria","AUT",2017,47163.74258,1.52
"Austria","AUT",2018,51194.07498,1.47
"Austria","AUT",2019,49885.99474,1.46
"Austria","AUT",2020,48716.40989,1.44
"Austria","AUT",2021,53648.71907,1.48
"Austria","AUT",2022,52176.66491,1.41
"Austria","AUT",2023,56033.57379,1.32
"Belgium","BEL",1960,1290.286072,2.54
"Belgium","BEL",1961,1367.788852,2.63
"Belgium","BEL",1962,1457.26517,2.59
"Belgium","BEL",1963,1555.022932,2.68
"Belgium","BEL",1964,1724.018942,2.71
"Belgium","BEL",1965,1859.509987,2.61
"Belgium","BEL",1966,1983.131198,2.52
"Belgium","BEL",1967,2113.821941,2.41
"Belgium","BEL",1968,2251.315759,2.31
"Belgium","BEL",1969,2490.107173,2.27
"Belgium","BEL",1970,2765.890997,2.25
"Belgium","BEL",1971,3082.927989,2.21
"Belgium","BEL",1972,3831.6319,2.09
"Belgium","BEL",1973,4900.962201,1.95
"Belgium","BEL",1974,5733.798139,1.83
"Belgium","BEL",1975,6701.377361,1.74
"Belgium","BEL",1976,7243.047341,1.73
"Belgium","BEL",1977,8426.946959,1.71
