"Name","Sex","Count","Rank","Percent","Year"
"Mattie","F",704,29,0.773677385322109,1880
"Edith","F",768,28,0.844011693078665,1880
"Hattie","F",769,27,0.845110666637361,1880
"Julia","F",783,26,0.860496296459107,1880
"Gertrude","F",787,25,0.864892190693892,1880
"Jennie","F",793,24,0.871486032046069,1880
"Bessie","F",796,23,0.874782952722158,1880
"Mabel","F",808,22,0.887970635426512,1880
"Maude","F",859,21,0.944018286920017,1880
"Carrie","F",949,20,1.04292590720267,1880
"Grace","F",982,19,1.07919203463965,1880
"Nellie","F",995,18,1.0934786909027,1880
"Laura","F",1012,17,1.11216124140053,1880
"Martha","F",1040,16,1.14293250104402,1880
"Cora","F",1045,15,1.14842736883751,1880
"Florence","F",1063,14,1.16820889289404,1880
"Ella","F",1156,13,1.27041343385278,1880
"Clara","F",1226,12,1.34734158296151,1880
"Annie","F",1258,11,1.38250873683979,1880
"Sarah","F",1288,10,1.41547794360068,1880
"Bertha","F",1320,9,1.45064509747895,1880
"Alice","F",1414,8,1.5539486119964,1880
"Ida","F",1472,7,1.61768907840077,1880
"Margaret","F",1578,6,1.73418027562257,1880
"Minnie","F",1746,5,1.91880783348353,1880
"Elizabeth","F",1939,4,2.13090973031189,1880
"Emma","F",2003,3,2.20124403806844,1880
"Anna","F",2604,2,2.86172714684485,1880
"Mary","F",7065,1,7.7642481921885,1880
"Oscar","M",544,29,0.492352249072314,1880
"Jesse","M",569,28,0.514978731106888,1880
"Will","M",588,27,0.532174857453163,1880
"Ernest","M",615,26,0.556611458050502,1880
"Daniel","M",643,25,0.581953117929224,1880
"Andrew","M",644,24,0.582858177210607,1880
"Richard","M",728,23,0.658883156846773,1880
"Charlie","M",730,21,0.660693275409539,1880
"Clarence","M",730,22,0.660693275409539,1880
"Joe","M",731,20,0.661598334690922,1880
"Louis","M",828,19,0.749389084985067,1880
"David","M",869,18,0.786496515521767,1880
"Samuel","M",1024,17,0.926780704136121,1880
"Albert","M",1493,16,1.35125350710472,1880
"Fred","M",1569,15,1.42003801248982,1880
"Arthur","M",1599,14,1.44718979093131,1880
"Walter","M",1755,13,1.58837903882704,1880
"Harry","M",2152,12,1.94768757353607,1880
"Edward","M",2364,11,2.13956014118925,1880
"Robert","M",2415,10,2.18571816453978,1880
"Henry","M",2444,9,2.21196488369988,1880
"Thomas","M",2534,8,2.29342021902435,1880
"Joseph","M",2632,7,2.38211602859987,1880
"Frank","M",3242,6,2.93420219024346,1880
"George","M",5126,5,4.6393338763689,1880
"Charles","M",5348,4,4.84025703683591,1880
"James","M",5927,3,5.36428636075663,1880
"William","M",9532,2,8.62702507014209,1880
"John","M",9655,1,8.7383473617522,1880
"Mattie","F",754,29,0.819984122323361,1881
"Hattie","F",775,28,0.842821876393375,1881
"Edith","F",778,27,0.846084412689091,1881
"Jennie","F",784,26,0.852609485280524,1881
"Ethel","F",788,25,0.856959533674812,1881
"Gertrude","F",791,24,0.860222069970528,1881
"Mabel","F",893,23,0.971148304024882,1881
"Bessie","F",903,22,0.982023425010603,1881
"Maude","F",923,21,1.00377366698205,1881
"Carrie","F",958,20,1.04183659043207,1881
"Laura","F",962,19,1.04618663882636,1881
"Cora","F",969,18,1.05379922351636,1881
"Martha","F",1044,17,1.13536263090927,1881
"Florence","F",1046,16,1.13753765510641,1881
"Grace","F",1089,15,1.18430067534501,1881
"Nellie","F",1096,14,1.19191326003502,1881
"Ella","F",1148,13,1.24846388916077,1881
"Sarah","F",1226,12,1.33328983284939,1881
"Clara","F",1242,11,1.35069002642654,1881
"Alice","F",1308,10,1.4224658249323,1881
"Bertha","F",1324,9,1.43986601850946,1881
"Annie","F",1326,8,1.4420410427066,1881
"Ida","F",1439,7,1.56492990984525,1881
"Minnie","F",1653,6,1.79765749893968,1881
"Margaret","F",1658,5,1.80309505943254,1881
"Elizabeth","F",1852,4,2.01407240655552,1881
"Emma","F",2034,3,2.21199960849564,1881
"Anna","F",2698,2,2.93410764194752,1881
"Mary","F",6919,1,7.52449621002034,1881
"Daniel","M",527,29,0.523154812130838,1881
"Oscar","M",530,28,0.526132923015834,1881
"Jesse","M",536,27,0.532089144785824,1881
"Will","M",550,26,0.545986995582469,1881
"Ernest","M",571,25,0.566833771777436,1881
"Andrew","M",588,24,0.583709733459076,1881
"Joe","M",639,23,0.634337618503996,1881
"Richard","M",641,22,0.636323025760659,1881
"Charlie","M",668,20,0.663126023725617,1881
"Clarence","M",668,21,0.663126023725617,1881
"Louis","M",746,19,0.740556906735494,1881
"David","M",750,18,0.744527721248821,1881
"Samuel","M",919,17,0.912294634436889,1881
"Albert","M",1319,16,1.30937608576959,1881
"Fred","M",1418,15,1.40765374497444,1881
"Arthur","M",1575,14,1.56350821462252,1881
"Walter","M",1670,13,1.65781505931404,1881
"Harry","M",2002,12,1.98739266392019,1881
"Robert","M",2140,11,2.12438576462997,1881
"Edward","M",2177,10,2.16111579887825,1881
"Thomas","M",2282,9,2.26534967985308,1881
"Henry","M",2339,8,2.32193378666799,1881
"Joseph","M",2456,7,2.43808011118281,1881
"Frank","M",2834,6,2.81332208269221,1881
"Charles","M",4636,5,4.60217402094605,1881
"George","M",4664,4,4.62996972253934,1881
"James","M",5441,3,5.40130044175311,1881
"William","M",8524,2,8.46180572789993,1881
"John","M",8768,1,8.70402541321288,1881
"Edith","F",876,29,0.812261815349523,1882
"Rose","F",886,28,0.821534210501915,1882
"Jennie","F",934,27,0.866041707233395,1882
"Gertrude","F",939,26,0.870677904809591,1882
"Mattie","F",966,25,0.895713371721049,1882
"Ethel","F",989,24,0.917039880571551,1882
"Mabel","F",997,23,0.924457796693464,1882
"Carrie","F",1037,22,0.961547377303031,1882
"Cora","F",1076,21,0.997709718397359,1882
"Maude","F",1089,20,1.00976383209547,1882
"Nellie","F",1138,19,1.05519856834219,1882
"Bessie","F",1144,18,1.06076200543362,1882
"Laura","F",1151,17,1.0672526820403,1882
"Grace","F",1195,16,1.10805122071082,1882
"Ella","F",1206,15,1.11825085537845,1882
"Martha","F",1229,14,1.13957736422895,1882
"Florence","F",1322,13,1.2258106391462,1882
"Sarah","F",1410,12,1.30740771648725,1882
"Clara","F",1490,11,1.38158687770638,1882
"Annie","F",1492,10,1.38344135673686,1882
"Bertha","F",1508,9,1.39827718898069,1882
"Alice","F",1542,8,1.42980333249882,1882
"Ida","F",1673,7,1.55127170899515,1882
"Margaret","F",1821,6,1.68850315725055,1882
"Minnie","F",2004,5,1.85818798853932,1882
"Elizabeth","F",2186,4,2.02694558031285,1882
"Emma","F",2303,3,2.13543260359583,1882
"Anna","F",3143,2,2.91431379639675,1882
"Mary","F",8148,1,7.55514757016885,1882
"Daniel","M",594,29,0.522491775592421,1882
"Oscar","M",625,28,0.549759864891016,1882
"Ernest","M",642,27,0.564713333216051,1882
"Jesse","M",660,26,0.580546417324913,1882
"Will","M",666,25,0.585824112027866,1882
"Andrew","M",673,24,0.591981422514646,1882
"Joe","M",739,23,0.650036064247137,1882
"Richard","M",746,22,0.656193374733916,1882
"Charlie","M",753,21,0.662350685220696,1882
"Clarence","M",837,20,0.736238411062048,1882
"David","M",838,19,0.737118026845874,1882
"Louis","M",852,18,0.749432647819432,1882
"Samuel","M",1003,17,0.882254631177102,1882
"Albert","M",1499,16,1.31854405995461,1882
"Fred","M",1641,15,1.44344950125785,1882
"Arthur","M",1686,14,1.48303221153,1882
"Walter","M",1805,13,1.58770648980525,1882
"Harry","M",2232,12,1.96330242949879,1882
"Edward","M",2477,11,2.17880829653607,1882
"Robert","M",2500,10,2.19903945956406,1882
"Henry","M",2579,9,2.26852910648629,1882
"Thomas","M",2610,8,2.29579719578488,1882
"Joseph","M",2670,7,2.34857414281442,1882
"Frank","M",3176,6,2.79365972943018,1882
"Charles","M",5091,5,4.47812395545626,1882
"George","M",5193,4,4.56784476540647,1882
"James","M",5892,3,5.18269619830058,1882
"William","M",9298,2,8.17866755801066,1882
"John","M",9557,1,8.4064880460215,1882
"Pearl","F",886,29,0.788810640930903,1883
"Hattie","F",895,28,0.796823390105145,1883
"Jennie","F",904,27,0.804836139279387,1883
"Lillian","F",907,26,0.807507055670801,1883
"Gertrude","F",923,25,0.821751943091675,1883
"Cora","F",1081,24,0.962420206372806,1883
"Mabel","F",1086,23,0.96687173369183,1883
"Maude","F",1096,22,0.975774788329876,1883
"Carrie","F",1108,21,0.986458453895532,1883
"Ethel","F",1132,20,1.00782578502684,1883
"Laura","F",1183,19,1.05323136368088,1883
"Bessie","F",1241,18,1.10486908058155,1883
"Nellie","F",1246,17,1.10932060790057,1883
"Ella","F",1251,16,1.11377213521959,1883
"Martha","F",1255,15,1.11733335707481,1883
"Florence","F",1298,14,1.15561649201841,1883
"Grace","F",1307,13,1.16362924119265,1883
"Sarah","F",1359,12,1.20992512531049,1883
"Alice","F",1488,11,1.32477453014129,1883
"Clara","F",1548,10,1.37819285796957,1883
"Annie","F",1589,9,1.41469538198556,1883
"Ida","F",1634,8,1.45475912785677,1883
"Bertha","F",1682,7,1.49749379011939,1883
"Margaret","F",1881,6,1.67466457741651,1883
"Minnie","F",2035,5,1.81177161884242,1883
"Elizabeth","F",2255,4,2.00763882087944,1883
"Emma","F",2367,3,2.10735303282556,1883
"Anna","F",3306,2,2.94334986333811,1883
"Mary","F",8012,1,7.13312737600271,1883
"Will","M",576,29,0.550537634408602,1883
"Jesse","M",584,28,0.558183990442055,1883
"Joe","M",607,26,0.580167264038232,1883
"Oscar","M",607,27,0.580167264038232,1883
"Daniel","M",615,25,0.587813620071685,1883
"Andrew","M",623,24,0.595459976105137,1883
"Ernest","M",641,23,0.612664277180406,1883
"Charlie","M",643,22,0.614575866188769,1883
"Richard","M",649,21,0.620310633213859,1883
"David","M",734,20,0.701553166069295,1883
"Louis","M",796,19,0.760812425328554,1883
"Clarence","M",837,18,0.8,1883
"Samuel","M",937,17,0.89557945041816,1883
"Albert","M",1496,16,1.42986857825568,1883
"Fred","M",1502,15,1.43560334528076,1883
"Arthur","M",1591,14,1.52066905615293,1883
"Walter","M",1705,13,1.62962962962963,1883
"Harry","M",2110,12,2.01672640382318,1883
"Edward","M",2250,11,2.1505376344086,1883
"Thomas","M",2316,10,2.21362007168459,1883
"Robert","M",2334,9,2.23082437275986,1883
"Henry","M",2383,8,2.27765830346476,1883
"Joseph","M",2515,7,2.40382317801673,1883
"Frank","M",2986,6,2.85400238948626,1883
"George","M",4736,5,4.52664277180406,1883
"Charles","M",4826,4,4.61266427718041,1883
"James","M",5223,3,4.9921146953405,1883
"William","M",8387,2,8.01624850657109,1883
"John","M",8894,1,8.50083632019116,1883
"Gertrude","F",1063,28,0.823909656717228,1884
"Jennie","F",1063,29,0.823909656717228,1884
"Edith","F",1104,27,0.855687921933979,1884
"Lillian","F",1109,26,0.859563320131143,1884
"Pearl","F",1138,25,0.882040629674699,1884
"Maude","F",1225,24,0.949472558305366,1884
"Cora","F",1244,23,0.964199071454592,1884
"Carrie","F",1245,22,0.964974151094025,1884
"Laura","F",1246,21,0.965749230733458,1884
"Mabel","F",1270,20,0.984351142079849,1884
"Ella","F",1374,19,1.06495942458088,1884
"Ethel","F",1386,18,1.07426038025407,1884
"Nellie","F",1417,17,1.09828784907649,1884
"Martha","F",1443,16,1.11843991970175,1884
"Bessie","F",1451,15,1.12464055681721,1884
